times;sens;TSL_mean;RSL_mean;Rgage;freq;length;cfakr;cfbkr;link;gage;dist;code;company
2021-05-21 21:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 21:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:25:00;"523 A-B";8;-38.4;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:40:00;"523 A-B";8;-43.8;60.8;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 22:55:00;"523 A-B";8;-43.3;62.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:10:00;"523 A-B";8;-40.7;18.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:25:00;"523 A-B";8;-40.2;3.2;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:40:00;"523 A-B";8;-39.5;2.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 23:55:00;"523 A-B";8;-39.1;0.8;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-22 00:10:00;"523 A-B";8;-39.3;0.8;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-22 00:25:00;"523 A-B";8;-39.5;2.4;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
